sample,x_input,y_output
        296,-15414,-13956
        297,-15708,-14374
        298,-15950,-14374
        299,-16139,-14786
        300,-16274,-14786
        301,-16356,-14786
        302,-16383,-14786
        303,-16356,-14786
        304,-16274,-14786
        305,-16139,-14786
        306,-15950,-14786
        307,-15708,-14786
        308,-15414,-14374
        309,-15069,-14374
        310,-14674,-13956
        311,-14231,-13532
        312,-13740,-13103
        313,-13203,-12669
        314,-12623,-12229
        315,-12001,-11784
        316,-11339,-11334
        317,-10640,-10879
        318, -9905, -9955
        319, -9137, -9486
        320, -8339, -8536
        321, -7514, -8055
        322, -6663, -7082
        323, -5791, -6590
        324, -4899, -5598
        325, -3991, -4595
        326, -3069, -3583
        327, -2138, -2564
        328, -1199, -2053
        329,  -257, -1027
        330,   686,     0
        331,  1627,   513
        332,  2562,  1540
        333,  3490,  2564
        334,  4405,  3074
        335,  5306,  4090
        336,  6190,  5098
        337,  7053,  6096
        338,  7892,  6590
        339,  8706,  7570
        340,  9490,  8536
        341, 10243,  9013
        342, 10962,  9955
        343, 11645, 10419
        344, 12289, 10879
        345, 12892, 11784
        346, 13453, 12229
        347, 13969, 12669
        348, 14438, 13103
        349, 14860, 13532
        350, 15232, 13956
        351, 15554, 13956
        352, 15825, 14374
        353, 16043, 14374
        354, 16207, 14786
        355, 16318, 14786
        356, 16375, 14786
        357, 16377, 14786
        358, 16326, 14786
        359, 16220, 14786
        360, 16060, 14786
        361, 15847, 14786
        362, 15581, 14374
        363, 15264, 14374
        364, 14896, 13956
        365, 14479, 13956
        366, 14013, 13532
        367, 13502, 13103
        368, 12945, 12669
        369, 12346, 12229
        370, 11705, 11784
        371, 11026, 10879
        372, 10310, 10419
        373,  9560,  9955
        374,  8778,  9013
        375,  7967,  8536
        376,  7130,  7570
        377,  6269,  6590
        378,  5387,  6096
        379,  4488,  5098
        380,  3573,  4090
        381,  2647,  3074
        382,  1712,  2564
        383,   771,  1540
        384,  -171,   513
        385, -1114,     0
        386, -2053, -1027
        387, -2985, -2053
        388, -3908, -2564
        389, -4817, -3583
        390, -5710, -4595
        391, -6585, -5598
        392, -7437, -6096
        393, -8265, -7082
        394, -9066, -8055
        395, -9836, -8536
        396,-10574, -9486
        397,-11277, -9955
        398,-11943,-10879
        399,-12568,-11334
        400,-13152,-11784
        401,-13693,-12229
        402,-14188,-12669
        403,-14636,-13103
        404,-15036,-13532
        405,-15385,-13956
        406,-15684,-14374
        407,-15930,-14374
        408,-16124,-14786
        409,-16264,-14786
