sample,x_in,y_out,mode
2057,-29752,-28752,1
2058,-29025,-28509,1
2059,-28201,-28118,1
2060,-27284,-27695,1
2061,-26276,-27237,1
2062,-25181,-26741,1
2063,-24003,-26206,1
2064,-22745,-25427,1
2065,-21412,-24569,1
2066,-20007,-23626,1
2067,-18537,-22593,1
2068,-17004,-21171,1
2069,-15416,-19925,1
2070,-13776,-18228,1
2071,-12090,-16376,1
2072,-10365,-14374,1
2073, -8605,-12229,1
2074, -6816, -9486,1
2075, -5005, -7082,1
2076, -3178, -4595,1
2077, -1340, -1540,1
2078,   502,   513,1
2079,  2343,  3074,1
2080,  4176,  6096,1
2081,  5996,  8536,1
2082,  7795, 10879,1
2083,  9569, 13532,1
2084, 11311, 15593,1
2085, 13015, 17505,1
2086, 14676, 18925,1
2087, 16289, 20560,1
2088, 17847, 22042,1
2089, 19347, 23121,1
2090, 20782, 24108,1
2091, 22148, 25008,1
2092, 23441, 25827,1
2093, 24656, 26568,1
2094, 25789, 27076,1
2095, 26837, 27546,1
2096, 27796, 27981,1
2097, 28662, 28252,1
2098, 29434, 28632,1
2099, 30108, 28869,1
2100, 30682, 28982,1
2101, 31154, 29200,1
2102, 31523, 29304,1
2103, 31787, 29405,1
2104, 31946, 29405,1
2105, 31999, 29405,1
2106, 31946, 29405,1
2107, 31787, 29405,1
2108, 31523, 29304,1
2109, 31154, 29200,1
2110, 30682, 28982,1
2111, 30108, 28869,1
2112, 29434, 28632,1
2113, 28662, 28252,1
2114, 27796, 27981,1
2115, 26837, 27546,1
2116, 25789, 27076,1
2117, 24656, 26568,1
2118, 23441, 25827,1
2119, 22148, 25008,1
2120, 20782, 24108,1
2121, 19347, 23121,1
2122, 17847, 22042,1
2123, 16289, 20560,1
2124, 14676, 18925,1
2125, 13015, 17505,1
2126, 11311, 15593,1
2127,  9569, 13532,1
2128,  7795, 10879,1
2129,  5996,  8536,1
2130,  4176,  6096,1
2131,  2343,  3074,1
2132,   502,   513,1
2133, -1340, -1540,1
2134, -3178, -4595,1
2135, -5005, -7082,1
2136, -6816, -9486,1
2137, -8605,-12229,1
2138,-10365,-14374,1
2139,-12090,-16376,1
2140,-13776,-18228,1
2141,-15416,-19925,1
2142,-17004,-21171,1
2143,-18536,-22593,1
2144,-20007,-23626,1
2145,-21412,-24569,1
2146,-22745,-25427,1
2147,-24003,-26206,1
2148,-25181,-26741,1
2149,-26276,-27237,1
2150,-27284,-27695,1
2151,-28201,-28118,1
2152,-29025,-28509,1
2153,-29752,-28752,1
2154,-30381,-28982,1
2155,-30909,-29092,1
2156,-31335,-29200,1
2157,-31656,-29304,1
2158,-31873,-29405,1
2159,-31984,-29405,1
2160,-31989,-29405,1
2161,-31887,-29405,1
2162,-31680,-29304,1
2163,-31368,-29200,1
2164,-30952,-29092,1
2165,-30433,-28982,1
2166,-29814,-28752,1
2167,-29095,-28509,1
2168,-28280,-28118,1
2169,-27371,-27840,1
2170,-26372,-27394,1
2171,-25284,-26911,1
2172,-24114,-26206,1
2173,-22863,-25427,1
2174,-21536,-24791,1
2175,-20138,-23626,1
2176,-18673,-22593,1
2177,-17146,-21468,1
2178,-15562,-19925,1
2179,-13927,-18228,1
2180,-12245,-16376,1
2181,-10523,-14374,1
2182, -8766,-12229,1
2183, -6980, -9955,1
2184, -5171, -7570,1
2185, -3344, -4595,1
2186, -1507, -2053,1
2187,   335,     0,1
2188,  2176,  3074,1
2189,  4010,  5598,1
2190,  5831,  8536,1
2191,  7633, 10879,1
2192,  9409, 13103,1
2193, 11154, 15192,1
2194, 12862, 17135,1
2195, 14527, 18925,1
2196, 16144, 20560,1
2197, 17708, 21758,1
2198, 19213, 23121,1
2199, 20654, 24108,1
2200, 22027, 25008,1
2201, 23326, 25827,1
2202, 24549, 26389,1
2203, 25690, 27076,1
2204, 26745, 27546,1
2205, 27712, 27981,1
2206, 28587, 28252,1
2207, 29368, 28632,1
2208, 30051, 28869,1
2209, 30634, 28982,1
2210, 31115, 29200,1
2211, 31494, 29304,1
2212, 31768, 29405,1
2213, 31936, 29405,1
2214, 31999, 29405,1
2215, 31956, 29405,1
2216, 31806, 29405,1
2217, 31551, 29304,1
2218, 31192, 29200,1
2219, 30729, 29092,1
2220, 30164, 28869,1
2221, 29499, 28632,1
2222, 28736, 28382,1
2223, 27878, 27981,1
2224, 26928, 27546,1
2225, 25888, 27076,1
2226, 24762, 26568,1
2227, 23555, 26019,1
2228, 22269, 25220,1
2229, 20909, 24341,1
2230, 19480, 23376,1
2231, 17986, 22042,1
2232, 16433, 20869,1
2233, 14825, 19264,1
2234, 13168, 17505,1
2235, 11467, 15593,1
2236,  9729, 13532,1
2237,  7958, 11334,1
2238,  6160,  9013,1
2239,  4342,  6096,1
2240,  2510,  3583,1
2241,   670,   513,1
2242, -1172, -1540,1
2243, -3011, -4090,1
2244, -4840, -7082,1
2245, -6653, -9486,1
2246, -8443,-11784,1
2247,-10206,-13956,1
2248,-11935,-15987,1
2249,-13624,-17870,1
2250,-15269,-19598,1
2251,-16862,-21171,1
2252,-18400,-22321,1
2253,-19876,-23626,1
2254,-21287,-24569,1
2255,-22627,-25427,1
2256,-23892,-26019,1
2257,-25078,-26741,1
2258,-26180,-27237,1
2259,-27196,-27695,1
2260,-28122,-28118,1
2261,-28954,-28382,1
2262,-29690,-28632,1
2263,-30328,-28869,1
2264,-30865,-29092,1
2265,-31300,-29200,1
2266,-31631,-29304,1
2267,-31857,-29405,1
2268,-31978,-29405,1
2269,-31992,-29405,1
2270,-31901,-29405,1
2271,-31703,-29304,1
2272,-31401,-29200,1
2273,-30994,-29092,1
2274,-30485,-28982,1
2275,-29874,-28752,1
2276,-29164,-28509,1
2277,-28358,-28252,1
2278,-27458,-27840,1
2279,-26466,-27394,1
2280,-25387,-26911,1
2281,-24223,-26206,1
2282,-22980,-25629,1
2283,-21660,-24791,1
2284,-20268,-23870,1
2285,-18809,-22860,1
2286,-17287,-21468,1
2287,-15708,-20246,1
2288,-14078,-18579,1
2289,-12400,-16759,1
